Run,Sample,BioProject
SRR1735216,SRS803995,PRJNA257197
SRR1735217,SRS803997,PRJNA257197
SRR1735218,SRS803998,PRJNA257197
SRR1735219,SRS803999,PRJNA257197
SRR1735220,SRS804000,PRJNA257197
SRR1735212,SRS803991,PRJNA257197
SRR1735213,SRS803992,PRJNA257197
SRR1735211,SRS803993,PRJNA257197
SRR1735214,SRS803994,PRJNA257197
SRR1735215,SRS803996,PRJNA257197
SRR1735206,SRS803985,PRJNA257197
SRR1735207,SRS803986,PRJNA257197
SRR1735208,SRS803988,PRJNA257197
SRR1735209,SRS803989,PRJNA257197
SRR1735210,SRS803990,PRJNA257197
SRR1735201,SRS803981,PRJNA257197
SRR1735202,SRS803982,PRJNA257197
SRR1735203,SRS803983,PRJNA257197
SRR1735204,SRS803984,PRJNA257197
SRR1735205,SRS803987,PRJNA257197
SRR1735196,SRS803976,PRJNA257197
SRR1735197,SRS803977,PRJNA257197
SRR1735198,SRS803978,PRJNA257197
SRR1735200,SRS803979,PRJNA257197
SRR1735199,SRS803980,PRJNA257197
SRR1735191,SRS803971,PRJNA257197
SRR1735194,SRS803972,PRJNA257197
SRR1735192,SRS803973,PRJNA257197
SRR1735193,SRS803974,PRJNA257197
SRR1735195,SRS803975,PRJNA257197
SRR1735186,SRS803966,PRJNA257197
SRR1735187,SRS803967,PRJNA257197
SRR1735188,SRS803968,PRJNA257197
SRR1735189,SRS803969,PRJNA257197
SRR1735190,SRS803970,PRJNA257197
SRR1735181,SRS803961,PRJNA257197
SRR1735182,SRS803962,PRJNA257197
SRR1735183,SRS803963,PRJNA257197
SRR1735184,SRS803964,PRJNA257197
SRR1735185,SRS803965,PRJNA257197
SRR1735176,SRS803955,PRJNA257197
SRR1735179,SRS803957,PRJNA257197
SRR1735178,SRS803958,PRJNA257197
SRR1735177,SRS803959,PRJNA257197
SRR1735180,SRS803960,PRJNA257197
SRR1735171,SRS803951,PRJNA257197
SRR1735172,SRS803952,PRJNA257197
SRR1735173,SRS803953,PRJNA257197
SRR1735174,SRS803954,PRJNA257197
SRR1735175,SRS803956,PRJNA257197
SRR1735167,SRS803946,PRJNA257197
SRR1735166,SRS803947,PRJNA257197
SRR1735168,SRS803948,PRJNA257197
SRR1735169,SRS803949,PRJNA257197
SRR1735170,SRS803950,PRJNA257197
SRR1735161,SRS803940,PRJNA257197
SRR1735163,SRS803942,PRJNA257197
SRR1735162,SRS803943,PRJNA257197
SRR1735164,SRS803944,PRJNA257197
SRR1735165,SRS803945,PRJNA257197
SRR1735156,SRS803936,PRJNA257197
SRR1735157,SRS803937,PRJNA257197
SRR1735158,SRS803938,PRJNA257197
SRR1735159,SRS803939,PRJNA257197
SRR1735160,SRS803941,PRJNA257197
SRR1735151,SRS803931,PRJNA257197
SRR1735152,SRS803932,PRJNA257197
SRR1735153,SRS803933,PRJNA257197
SRR1735154,SRS803934,PRJNA257197
SRR1735155,SRS803935,PRJNA257197
SRR1735147,SRS803926,PRJNA257197
SRR1735146,SRS803927,PRJNA257197
SRR1735148,SRS803928,PRJNA257197
